0
Yapay zeka
veri bilimi
İngilizce
GA4
Adjust
Appsflyer
Looker Studio
Excel
gsheet
BigQuery
Google Tag Manager
Python
R
TensorFlow
Keras
PyTorch
Scikit-learn
SQL
AWS
GCP
Azure
Hadoop
Spark
ANN
CNN
NLP Transformers
Transformer architecture
LIME
SHAP
surrogate models
Adjust
Google
Meta
TikTok
Appflyers
IoT
Veri Analitiği
Yapay Zeka
AR/VR
SAS
IBM Modeller
SQL
POWER BI
R
Python
Generative AI
Large Language Models
LLMs
NLP
Python
SQL
Tensorflow
PyTorch
Conditional Random Fields
Transformers
Recurrent Neural Networks
Convolutional Neural Network
Google Cloud Platform
Git
CI/CD
CD4ML
Snowflake
SnowSQL
SnowPipe
Python
PySpark
Hadoop
SQL
HQL
DBT
GIT
Data Vault 2.0
Apache Airflow
English
JIRA
SQL
MS Office
Agile
Scrum
SQL
HTML
CSS
Google Analytics
A/B testing
Knime
SAS
SPSS
Python
R
Pandas
NumPy
scikit-learn
Experian Strategy Management Tool
PCSM
Powercurve
SQL
SQL
Tableau
Looker
Python
R
T-SQL
PL/SQL
Microsoft Excel
Power Pivot
Tabular SQL
Python
PySpark
MS SQL
Azure Cloud
Azure Data Factory
Azure Service Bus
GitHub
Docker
Power BI
Fabric
Chatbot
GenAI
SAP
SQL
Python
Scikit-learn
Xgboost
Lightgbm
Tensorflow
PyTorch
Java
C++
CI/CD
MLOps
Python
scikit-learn
PyTorch
TensorFlow
SQL
AWS
Power BI
SQL
SQL
Postman
Soap
Swagger
Microsoft Dynamics 365
MSTR
Microsoft Power BI
MUREX
SQL
Excel
Qlik
Tableau
Power BI
MS Excel
GA4
GTM
Firebase
Appsflyer
Google Ads
META
TikTok
Google Analytics
Python
R
SQL
Tableau
Power BI
Looker Studio
QuickSight
Solidity
Google Analytics
MSSQL
VerticaDB
SQL
Python
Excel
Python
TensorFlow
PyTorch
REST API
NoSQL
RDBMS
Docker
Microsoft Azure
AWS
LLM
regression
classification
clustering
decision trees
recommender systems
neural networks
XGBoost
LightGBM
transformers
Excel
data manipulation skills
SQL
SMC
KNIME
Python
SQL
SSIS
ODI
Informatica
Azure Data Factory
Power BI
Python
SQL
MS Excel
SPSS
KNIME
SAS
Microstrategy
Qlik
Tableau
SQL
MS Excel
English
BigQuery
Python
Airflow
SQL
Looker
Tableau
Power BI
Kubeflow
Python
TensorFlow
Scikit-learn
PyTorch
Hadoop
Spark
Hive
Google Cloud Platform
Confluent Kafka
Udemy
Pluralsight
A Cloud Guru
Coursera
Elasticsearch
ETL
SSIS
Azure Synapse
Data Factory
SQL Server
Power BI
Tabular Model
SQL
Python
Python
Python
SQL
SAS
Python
R
SPSS
Dashboards
visualization tools
PowerBI
SAS
SPSS
MS SQL
Python
pandas
numpy
tensorflow
scikit-learn
ABAP
BW
BW4HANA
Azure DevOps
OpenHub
CDS Views
S4/HANA
Oracle Data Warehouse
Informatica
ODI
Azure Cloud
ODI
SSIS
Data Stage
Ab Initio
Informatica ETL
SQL
TSQL
PL/SQL
Unix
Linux
Windows
Scrum
Kanban
SQL
Quicksight
Tableau
Looker
Python
R
Google Firebase
AWS
Python
PHP
JavaScript
LLM
NLP
CI/CD
containerization technologies
SQL
Phyton
AWS
Microsoft Azure
Google
AI
MRP/ERP
Financial statements
MS Office
Excel
data analytics
MS Office
SQL
Python
R
Python
SQL
Machine Learning Models
Large Language Models (LLM)
Python
Scikit-learn
PyTorch
TensorFlow
SQL
IBM Cognos
SSIS
SQL
Power BI
ETL
NodeJS
SQL
NoSQL
Pub/Sub
Dataflow
BigQuery
GCP
BI tools
SQL
Python
Salesforce Marketing Cloud
Google Analytics
Adjust
Looker
Tableau
Qlikview
Python
XGBoost
pandas
numpy
AWS
Linux
Cassandra
ELK
RabbitMQ
Redis
Kafka
Spark
Python
Ruby
Bash
YAML
JSON
Ansible
Terraform
Docker
Kubernetes
OpenShift
Pivotal PKS
Grafana
Prometheus
Nagios
MongoDB
ElasticSearch
Zeppelin
Pivotal PKS/PAS
Datawarehouse management
ETL management
Data management
Saas environments
Python
Java
Scala
SQL
PostgreSQL
MSQL
Oracle
MySQL
Hadoop
Spark
Kafka
Ni-fi
Informatica
Apache Airflow
Docker
Kubernetes
SQL
Swift
Core ML
AWS Data Training
Pose Estimation
Neural Networks
Deep Learning
TensorFlow
Sagemaker
Excel
PMP
Lean Six Sigma
Lean Six Sigma Green/Black Belt
data analytics
optimization projects
digitalization
project management
portfolio management
Python
Java
SQL
Docker
Kubernetes
AI
ML
DL
NLP
GenAI
DWH
NumPy
Pandas
Scikit-learn
TensorFlow
MS Office
Microsoft Power BI
Power Query
Power Pivot
Python
SQL
PowerBI
Tableau
Qlik Sense
SQL
Python
R
TSQL
SQL
C#
ETL
Power BI
Power Query
DAX
SQL Server
Excel
MS Suite
SAP ERP system
MS Office
data analytics
data visualization
information technology
e-commerce
MS Office
excel
MS Office
MS Office
Kubernetes
Rancher
Openshift
IaC
Firewalls
WAF-LB
EDR
SIEM
IAM
PAM
HSM
MSSQL
MySQL
Oracle SQL
PostgreSQL
AWS
Azure
GCP
Google Analytics
SEMrush
Ahrefs
HTML
CSS
content management systems (CMS)
MS Office
IFRS
UPS
BMS
chillers
life safety systems
English
Almanca
Fransızca
MS Office
Word
Excel
PowerPoint
Findeks
MS Office Applications
Excel
IFRS
Meta
TikTok
Applovin
Unity
AppsFlyer
MS Office
English
Turkish
financial models
financial modeling
PF loans
Java
SpringBoot
JEE
Weblogic
Hibernate
Eclipselink
Kafka
Redis
Git
Cvs
Ant
Maven
Jenkins
Linux
Splunk
Check_mk
Linux
Windows
Python
Bash
PowerShell
Docker
ansible
TCP/IP
DNS
HTTP
Kubernetes
Linux
AWS
Azure
GCP
Ansible
SQL
Python
Java
Scala
Spark
Hadoop
AWS
Azure
Google Cloud
Docker
Kubernetes
MS Office
ERP
SAP
SQL
Tableau
Power BI
Python
R
AWS
Azure
R
Python
SAS Miner
SPSS
SQL
data analysis tools
SEO
SEM
social media
Google Ads
data analytics
Python
C++
R
Unreal Engine
AWS
Google Cloud Platform
Python
Pandas
NumPy
SciPy
Keras
Neural Networks
MLP
decision-tree-based models
Python
Pandas
Numpy
Matplotlib
Bash Scripting
SQL
802.11
ML/AI
Apache NiFi
Apache Airflow
Kafka
RabbitMQ
Azure Event Hubs
Azure Service Bus
C#
Python
RESTful APIs
Python
SQL
AWS
Glue
Athena
EMR
Apache Spark
PySpark
Databricks
Terraform
Unix
Linux
Excel
Tableau
Power BI
Power BI
SQL
Excel
Google Data Studio
Tableau
MySQL
Phyton
DataVision
PLC
Beckhoff
motion control
HMI
SCADA
PostgreSQL
QT Creator
C++
Python
SQL
Microsoft C#
Java
MongoDB
SQL Server
Python
SQL
Spark
GCP
Git
DevOps
SQL
Tableau
Google Analytics
A/B Testing
Tracking
Tag management
ODI
Oracle
SQL
PL/SQL
Power BI
BigQuery
Python
Airflow
SQL
Looker
Tableau
Power BI
SQL
Tableau
Power BI
Python
R
AWS
Azure
MSSQL
Apache Airflow
Astronomer
SSIS
SSAS
Power BI
Qlik Sense
Tableau
Looker
Google Big Query
AWS
S3
SQS
Redshift
Lambda
GCP
SnowFlake
Redis
Heroku
Python
Java
JavaScript
TypeScript
C++
SQL
Swift
Ruby
Rust
Go
NET
Matlab
PHP
HTML
DART
R
Apex
Shell
C
C#
SQL
Linux
Git
Python
Airflow
RestAPI
GCP
Hadoop
Hbase
Hive
Kafka
Storm
AWS
Glue
S3
Lambda
EMR
EKS
Kubernetes
SQL
Waterfall
Agile/Scrum
Release Management
MS SQL Server
Oracle Exadata
Azure SQL
PLSQL
T-SQL
Python
Oracle Data Integrator
Informatica
Azure Data Factory
IBM DataStage
SAP Business Objects
Power BI
Tableau
QlikView
QlikSense
SAP Power Designer
Erwin Data Modeler
